model,year,price,mileage,tax,mpg,engineSize,transmission_Automatic,transmission_Manual,transmission_Other,transmission_Semi-Auto,fuelType_Diesel,fuelType_Electric,fuelType_Hybrid,fuelType_Other,fuelType_Petrol,Make_BMW,Make_Ford,Make_Hyundai,Make_audi,Make_skoda,Make_toyota,Make_vw
13,2017.0,16200.0,22582.0,145.0,61.4,2.0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0
12,2017.0,18700.0,20052.0,145.0,49.6,2.0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0
86,2016.0,16100.0,16666.0,30.0,60.1,2.0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0
10,2016.0,14100.0,10460.0,20.0,60.1,1.4,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0
13,2016.0,16600.0,43307.0,125.0,57.6,2.0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0
8,2017.0,11300.0,29327.0,30.0,55.4,1.4,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0
86,2017.0,15600.0,36714.0,125.0,51.4,1.4,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0
8,2014.0,10000.0,28324.0,125.0,53.3,1.4,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0
8,2016.0,14500.0,12100.0,30.0,56.5,1.4,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0
8,2016.0,10600.0,28760.0,30.0,55.4,1.4,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0
10,2019.0,25499.0,4000.0,145.0,44.1,1.5,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0
85,2019.0,25499.0,7897.0,145.0,47.9,2.0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0
13,2016.0,15500.0,24744.0,125.0,56.5,3.0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0
86,2015.0,16200.0,30075.0,160.0,51.4,2.0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0
8,2017.0,14000.0,12577.0,30.0,58.9,1.4,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0
